id,ts,user_id,prompt,completion,flags,model,prev_hash,this_hash
2,2025-04-23 17:54:16.064612+00:00,TSTI2A-12CL,test,,{'error': True},moderation-latest,,f8a870e33b34185c66c70901f0cffaf4c5ee3093bcf62d119c2a43e6a4ee2624
3,2025-04-23 18:01:09.278450+00:00,TSTI2A-12CL,test,,{'error': True},moderation-latest,,89c671e69c88293c696df8f489f2f5103c69bebabcc0109680bf4a2870d7059b
4,2025-04-23 18:06:27.742116+00:00,TSTI2A-12CL,test,"Bonjour ! Pour continuer, réponds à l’énoncé de l’exercice 1 :

Résoudre l’équation différentielle :
\[
y' + 2y = 6
\]
Réponds en donnant directement la solution générale, c’est-à-dire une expression de la forme \(y(x) = \dots\)","{'hate': False, 'sexual': False, 'violence': False, 'self-harm': False, 'harassment': False, 'sexual/minors': False, 'hate/threatening': False, 'self-harm/intent': False, 'violence/graphic': False, 'harassment/threatening': False, 'self-harm/instructions': False}",gpt-4.1,89c671e69c88293c696df8f489f2f5103c69bebabcc0109680bf4a2870d7059b,1fd455fa999d53d5860a5bd292c01257a8b0a04c47940b4059ea27c74a76d2aa
5,2025-04-23 18:06:46.525514+00:00,TSTI2A-12CL,test,"L’exercice 1 t’attend ! Donne la solution générale de l’équation :
\[
y' + 2y = 6
\]
en écrivant simplement : \(y(x) = \dots\)","{'hate': False, 'sexual': False, 'violence': False, 'self-harm': False, 'harassment': False, 'sexual/minors': False, 'hate/threatening': False, 'self-harm/intent': False, 'violence/graphic': False, 'harassment/threatening': False, 'self-harm/instructions': False}",gpt-4.1,1fd455fa999d53d5860a5bd292c01257a8b0a04c47940b4059ea27c74a76d2aa,8af7a48c5387effbff2acb4819c2ca3b34b20de9bee3ad5a7164429b36855b70
6,2025-04-23 18:07:41.735267+00:00,TSTI2A-12CL,sexe,"Désolé, je ne peux répondre qu’aux questions en lien avec les équations différentielles de la fiche d’exercices. Si tu veux continuer, donne la solution générale pour l’équation \(y' + 2y = 6\) !","{'hate': False, 'sexual': False, 'violence': False, 'self-harm': False, 'harassment': False, 'sexual/minors': False, 'hate/threatening': False, 'self-harm/intent': False, 'violence/graphic': False, 'harassment/threatening': False, 'self-harm/instructions': False}",gpt-4.1,8af7a48c5387effbff2acb4819c2ca3b34b20de9bee3ad5a7164429b36855b70,48001694086b9908dce52ab141148de1982cec73c6f1b26379aa4972aea10925
7,2025-04-23 18:13:43.517150+00:00,TSTI2A-12CL,test moderation J’ai envie de me suicider.,,"{'hate': False, 'sexual': False, 'violence': False, 'self-harm': True, 'harassment': False, 'sexual/minors': False, 'hate/threatening': False, 'self-harm/intent': True, 'violence/graphic': False, 'harassment/threatening': False, 'self-harm/instructions': False}",moderation-latest,48001694086b9908dce52ab141148de1982cec73c6f1b26379aa4972aea10925,506f240ce7f08faeb601b148f35cebcd6d66d494ab6db1adafd377d23a5eaa99
8,2025-04-23 18:21:37.628721+00:00,TSTI2A-12CL,\(y(x)=3 + Ce^{-2x}\) ou avec une autre variable,"EXERCICE TERMINE : ✅  
Bravo ! Ta réponse est correcte : la solution générale s’écrit bien \(y(x) = 3 + Ce^{-2x}\), où \(C\) est une constante réelle.

N’hésite pas à continuer avec l’exercice 2 pour t’entraîner davantage !","{'hate': False, 'sexual': False, 'violence': False, 'self-harm': False, 'harassment': False, 'sexual/minors': False, 'hate/threatening': False, 'self-harm/intent': False, 'violence/graphic': False, 'harassment/threatening': False, 'self-harm/instructions': False}",gpt-4.1,506f240ce7f08faeb601b148f35cebcd6d66d494ab6db1adafd377d23a5eaa99,239640502f9ad439353f58c0ffa88d160c7b59ff801b8a6019c5fb81f6090921
9,2025-04-23 18:21:53.622534+00:00,TSTI2A-12CL,"\(y_p = 4x*e^{-x/2}\),  \(y_g = (4x + C)e^{-x/2}\)","EXERCICE TERMINE : ✅  
Très bien, c’est correct !  
La solution particulière est \(y_p = 4x\, e^{-x/2}\) et la solution générale \(y_g = (4x + C)e^{-x/2}\).

Passe à l’exercice 3 quand tu es prêt !","{'hate': False, 'sexual': False, 'violence': False, 'self-harm': False, 'harassment': False, 'sexual/minors': False, 'hate/threatening': False, 'self-harm/intent': False, 'violence/graphic': False, 'harassment/threatening': False, 'self-harm/instructions': False}",gpt-4.1,239640502f9ad439353f58c0ffa88d160c7b59ff801b8a6019c5fb81f6090921,4dc2dcd0922a2112e76a04168fa8b0270430fb9c2156c3f338df0c3122edfc58
10,2025-04-23 18:22:05.570996+00:00,TSTI2A-12CL,exercice 4,"Très bien, tu viens de demander l’énoncé de l’exercice 4. Tu peux maintenant me donner ta réponse pour cet exercice, je la corrigerai !","{'hate': False, 'sexual': False, 'violence': False, 'self-harm': False, 'harassment': False, 'sexual/minors': False, 'hate/threatening': False, 'self-harm/intent': False, 'violence/graphic': False, 'harassment/threatening': False, 'self-harm/instructions': False}",gpt-4.1,4dc2dcd0922a2112e76a04168fa8b0270430fb9c2156c3f338df0c3122edfc58,06e1bde6727efc585b67d3508916bdb2bc5674ddca1ee6debe249f3724485246
11,2025-04-23 18:22:16.357334+00:00,TSTI2A-12CL,"\(T(t)=300 - 280e^{-0,4t}\)","EXERCICE TERMINE : ✅  
Excellent travail ! Ta réponse est juste : la température s’écrit \(T(t) = 300 - 280e^{-0,4t}\).

N’hésite pas à poursuivre avec l’exercice 3 ou 5 !","{'hate': False, 'sexual': False, 'violence': False, 'self-harm': False, 'harassment': False, 'sexual/minors': False, 'hate/threatening': False, 'self-harm/intent': False, 'violence/graphic': False, 'harassment/threatening': False, 'self-harm/instructions': False}",gpt-4.1,06e1bde6727efc585b67d3508916bdb2bc5674ddca1ee6debe249f3724485246,54f4bb2c1559856204da1d1e1bcbde8f06e5d3a5a8cc16586e81e3a35e30b667
